Sample,GroundTruth,Prediction,GroundTruth_Label,Prediction_Label,Correct,Logit0,Logit1,Logit2,Logit3,Logit4,Prob0,Prob1,Prob2,Prob3,Prob4
20,1,1,Supraventricular,Supraventricular,Yes,-8.815971,-1.996040,-8.351052,-8.127369,-10.463025,0.001086,0.994813,0.001729,0.002162,0.000209
21,0,0,Normal,Normal,Yes,0.178718,-25.303011,-19.411352,-3.098580,-3.851523,0.947418,0.000000,0.000000,0.035746,0.016836
22,0,0,Normal,Normal,Yes,4.036726,-29.518661,-16.929329,-10.706236,0.041384,0.981931,0.000000,0.000000,0.000000,0.018069
23,3,3,Fusion,Fusion,Yes,-5.146043,-7.482058,-5.819177,-0.695707,-7.009585,0.011439,0.001106,0.005835,0.979845,0.001774
24,0,0,Normal,Normal,Yes,-3.792992,-22.563160,-5.606503,-13.636970,-6.038424,0.788013,0.000000,0.128509,0.000042,0.083436
25,0,4,Normal,Unknown,No,-7.028505,-13.913739,-8.700109,-10.273684,-6.256857,0.294876,0.000302,0.055421,0.011489,0.637913
26,1,1,Supraventricular,Supraventricular,Yes,-5.495349,-0.004019,-12.826175,-4.607631,-4.379016,0.004015,0.973967,0.000003,0.009755,0.012260
27,0,0,Normal,Normal,Yes,-1.140858,-13.784050,-8.975629,-8.864615,-8.695959,0.998637,0.000003,0.000395,0.000442,0.000523
28,0,0,Normal,Normal,Yes,4.213442,-28.480116,-18.799564,-7.823720,-0.012526,0.985593,0.000000,0.000000,0.000006,0.014401
29,0,0,Normal,Normal,Yes,1.166617,-16.537657,-11.939686,-6.677648,-2.619605,0.977445,0.000000,0.000002,0.000383,0.022170
30,1,1,Supraventricular,Supraventricular,Yes,-4.747523,0.989745,-15.132898,-4.631422,-3.716370,0.003173,0.984364,0.000000,0.003564,0.008898
31,0,0,Normal,Normal,Yes,-2.433185,-21.338570,-16.635021,-7.296879,-3.075916,0.652070,0.000000,0.000000,0.005035,0.342894
32,0,1,Normal,Supraventricular,No,-4.704107,-2.975098,-9.025478,-6.960637,-6.352865,0.143981,0.811344,0.001912,0.015077,0.027686
33,1,1,Supraventricular,Supraventricular,Yes,-9.217269,-2.932040,-9.151742,-7.000979,-8.288342,0.001817,0.974975,0.001940,0.016668,0.004600
34,0,0,Normal,Normal,Yes,-4.147381,-7.777240,-12.444417,-6.906626,-7.475063,0.888111,0.023553,0.000221,0.056253,0.031862
35,4,4,Unknown,Unknown,Yes,-6.255442,-7.097440,-5.010927,-4.488104,-2.221632,0.014874,0.006408,0.051630,0.087089,0.839999
36,0,0,Normal,Normal,Yes,-2.026929,-6.857837,-5.750668,-6.619273,-4.918694,0.910971,0.007269,0.021994,0.009227,0.050539
37,0,0,Normal,Normal,Yes,1.507920,-12.658527,-7.854429,-7.245684,-3.774693,0.994705,0.000001,0.000085,0.000157,0.005052
38,0,4,Normal,Unknown,No,-5.664442,-10.281806,-8.889125,-9.465264,-5.207173,0.377109,0.003725,0.014997,0.008429,0.595739
39,0,0,Normal,Normal,Yes,-3.838375,-13.318158,-6.798974,-9.430840,-5.359438,0.784886,0.000060,0.040648,0.002924,0.171482
40,0,0,Normal,Normal,Yes,1.652848,-23.308149,-11.578424,-7.348459,-3.107285,0.991385,0.000000,0.000002,0.000122,0.008491
41,0,0,Normal,Normal,Yes,-0.499506,-2.634771,-3.045335,-5.431341,-2.470206,0.744494,0.088009,0.058374,0.005370,0.103752
42,0,0,Normal,Normal,Yes,5.221735,-18.596786,-15.006443,-4.308119,-0.090742,0.995023,0.000000,0.000000,0.000072,0.004905
43,0,0,Normal,Normal,Yes,-0.235820,-6.430397,-4.195475,-4.125719,-2.621251,0.882140,0.001800,0.016822,0.018037,0.081200
44,0,0,Normal,Normal,Yes,1.141189,-10.842824,-4.443353,-5.109153,-3.979925,0.988474,0.000006,0.003712,0.001908,0.005901
45,0,0,Normal,Normal,Yes,-0.973664,-16.400524,-11.213101,-10.751615,-10.553540,0.999838,0.000000,0.000036,0.000057,0.000069
46,0,0,Normal,Normal,Yes,-0.209212,-8.777679,-11.412346,-2.857542,-4.364365,0.920254,0.000175,0.000013,0.065126,0.014433
47,3,3,Fusion,Fusion,Yes,-7.314700,-7.524700,-7.971145,-0.815739,-7.588450,0.001498,0.001214,0.000777,0.995371,0.001139
48,0,0,Normal,Normal,Yes,-1.967543,-11.357211,-11.362846,-6.748847,-7.779311,0.988588,0.000083,0.000082,0.008289,0.002958
49,0,0,Normal,Normal,Yes,-1.196857,-7.889167,-4.259833,-4.734316,-6.875983,0.925504,0.001148,0.043266,0.026920,0.003162
50,0,0,Normal,Normal,Yes,-0.481852,-10.740939,-14.000729,-5.682808,-5.701820,0.989164,0.000035,0.000001,0.005452,0.005349
51,0,0,Normal,Normal,Yes,1.030792,-25.415146,-16.151693,-10.754609,0.105886,0.716037,0.000000,0.000000,0.000005,0.283958
52,0,0,Normal,Normal,Yes,-5.728157,-10.000708,-7.128773,-6.392177,-8.729332,0.547976,0.007642,0.135046,0.282086,0.027250
53,3,3,Fusion,Fusion,Yes,-19.903868,-12.489881,-28.124166,-0.408398,-12.920907,0.000000,0.000006,0.000000,0.999991,0.000004
54,0,0,Normal,Normal,Yes,2.356426,-13.549241,-6.723675,-6.079798,-1.561365,0.980185,0.000000,0.000112,0.000213,0.019491
55,0,2,Normal,Ventricular,No,-7.714668,-10.883886,-7.125423,-8.742517,-8.586516,0.276196,0.011610,0.497878,0.098816,0.115499
56,4,3,Unknown,Fusion,No,-17.867962,-14.372766,-11.334743,-8.295277,-9.004239,0.000045,0.001487,0.031030,0.648349,0.319088
57,0,0,Normal,Normal,Yes,2.105222,-17.202188,-13.371241,-5.703879,-0.935132,0.953994,0.000000,0.000000,0.000387,0.045618
58,0,0,Normal,Normal,Yes,-0.099255,-13.145133,-7.966295,-8.405365,-4.659250,0.989027,0.000002,0.000379,0.000244,0.010347
59,1,1,Supraventricular,Supraventricular,Yes,-9.101170,-1.020627,-8.971247,-2.789469,-8.387807,0.000264,0.853370,0.000301,0.145526,0.000539
60,0,0,Normal,Normal,Yes,-0.162230,-21.992725,-7.812842,-7.742204,-3.979874,0.977550,0.000000,0.000465,0.000499,0.021486
61,0,0,Normal,Normal,Yes,2.648467,-21.954840,-16.139156,-1.099339,-6.130404,0.976826,0.000000,0.000000,0.023023,0.000150
62,0,1,Normal,Supraventricular,No,-5.490118,-4.155210,-9.793242,-7.391932,-6.920729,0.192247,0.730472,0.002600,0.028702,0.045978
63,1,1,Supraventricular,Supraventricular,Yes,-6.020860,0.456402,-15.282671,-4.567549,-4.218350,0.001512,0.982855,0.000000,0.006466,0.009168
64,0,0,Normal,Normal,Yes,2.483841,-13.641258,-8.379313,-3.594193,-2.217668,0.988735,0.000000,0.000019,0.002267,0.008979
65,0,0,Normal,Normal,Yes,0.952787,-14.864801,-7.590720,-7.650053,-3.084767,0.982300,0.000000,0.000191,0.000180,0.017328
66,0,0,Normal,Normal,Yes,3.047124,-17.574898,-27.639580,-1.719470,-6.230079,0.991471,0.000000,0.000000,0.008437,0.000093
67,0,0,Normal,Normal,Yes,4.343318,-30.356228,-13.916385,-5.840181,0.439323,0.980201,0.000000,0.000000,0.000037,0.019762
68,0,0,Normal,Normal,Yes,-1.396123,-5.504859,-9.020522,-4.860305,-4.971624,0.929181,0.015265,0.000454,0.029082,0.026018
69,2,2,Ventricular,Ventricular,Yes,-9.661273,-3.472650,-0.566476,-6.742933,-8.004522,0.000106,0.051713,0.945660,0.001965,0.000556
70,0,0,Normal,Normal,Yes,2.462412,-9.643267,-9.991492,-2.589612,-3.974242,0.992056,0.000005,0.000004,0.006346,0.001589
71,0,0,Normal,Normal,Yes,-2.323984,-17.067917,-12.071808,-10.357435,-10.277709,0.999266,0.000000,0.000058,0.000324,0.000351
72,0,0,Normal,Normal,Yes,-1.055914,-6.146421,-4.579671,-5.457513,-5.147024,0.939301,0.005781,0.027699,0.011514,0.015706
73,0,0,Normal,Normal,Yes,1.307664,-9.576054,-8.152123,-5.702290,-5.648178,0.998051,0.000019,0.000078,0.000901,0.000951
74,0,0,Normal,Normal,Yes,0.302012,-6.809094,-9.301792,-4.079926,-5.397004,0.983542,0.000803,0.000066,0.012295,0.003294
75,0,0,Normal,Normal,Yes,0.123285,-11.433293,-7.377055,-6.075731,-6.150939,0.995542,0.000010,0.000550,0.002022,0.001876
76,0,0,Normal,Normal,Yes,-1.158325,-24.428371,-20.613647,-2.482458,-4.376785,0.765667,0.000000,0.000000,0.203693,0.030639
77,0,0,Normal,Normal,Yes,-2.903163,-14.506346,-11.668464,-10.074724,-9.532166,0.997750,0.000009,0.000156,0.000766,0.001319
78,0,0,Normal,Normal,Yes,5.315718,-25.689510,-16.560062,-1.186998,-3.152010,0.998293,0.000000,0.000000,0.001497,0.000210
79,0,0,Normal,Normal,Yes,-1.075579,-17.002094,-10.366899,-11.076007,-10.843837,0.999805,0.000000,0.000092,0.000045,0.000057
80,1,1,Supraventricular,Supraventricular,Yes,-8.690868,-2.619305,-8.348102,-6.888681,-7.343458,0.002244,0.972359,0.003161,0.013604,0.008633
81,1,1,Supraventricular,Supraventricular,Yes,-7.680005,-2.772102,-6.035365,-7.822102,-8.235677,0.006994,0.946702,0.036224,0.006068,0.004012
82,0,0,Normal,Normal,Yes,-0.154383,-27.440149,-12.979501,-7.574298,-0.240476,0.521346,0.000000,0.000001,0.000312,0.478340
83,0,0,Normal,Normal,Yes,0.340578,-12.928708,-11.614702,-3.947350,-4.648036,0.979858,0.000002,0.000006,0.013457,0.006678
84,0,0,Normal,Normal,Yes,1.218889,-10.285093,-8.155050,-3.925210,-6.878028,0.993805,0.000010,0.000084,0.005798,0.000303
85,3,3,Fusion,Fusion,Yes,-5.014052,-7.520157,-24.373907,-3.933138,-6.811858,0.238401,0.019450,0.000000,0.702655,0.039494
86,1,1,Supraventricular,Supraventricular,Yes,-6.820170,-0.801718,-14.791058,-5.616975,-5.190564,0.002379,0.977561,0.000001,0.007923,0.012136
87,2,2,Ventricular,Ventricular,Yes,-4.231245,-11.371611,-3.461193,-5.611926,-5.893776,0.277644,0.000220,0.599677,0.069802,0.052657
88,0,0,Normal,Normal,Yes,-3.111306,-14.900452,-8.759235,-9.727923,-4.926818,0.856439,0.000006,0.003019,0.001146,0.139389
89,0,0,Normal,Normal,Yes,-0.869159,-10.608331,-9.557709,-6.998859,-3.395648,0.923921,0.000054,0.000156,0.002012,0.073858
90,0,0,Normal,Normal,Yes,3.371151,-13.591976,-13.375809,-4.902085,-2.555427,0.997086,0.000000,0.000000,0.000255,0.002660
91,1,1,Supraventricular,Supraventricular,Yes,-7.241411,0.102717,-6.225540,-6.114967,-6.990240,0.000643,0.994771,0.001776,0.001983,0.000827
92,2,2,Ventricular,Ventricular,Yes,-5.904619,-7.108489,-1.420311,-5.653412,-2.991877,0.009123,0.002737,0.808474,0.011729,0.167936
93,0,0,Normal,Normal,Yes,1.590241,-15.507364,-6.583773,-6.053581,-2.932277,0.988511,0.000000,0.000279,0.000473,0.010737
94,0,0,Normal,Normal,Yes,2.900386,-13.546643,-8.153664,-7.233251,-3.613222,0.998464,0.000000,0.000016,0.000040,0.001481
95,0,0,Normal,Normal,Yes,2.878765,-16.721760,-10.213316,-2.626291,-3.865308,0.994781,0.000000,0.000002,0.004045,0.001172
96,0,0,Normal,Normal,Yes,3.814671,-8.873702,-10.394992,-4.078478,-4.076150,0.999249,0.000003,0.000001,0.000373,0.000374
97,1,1,Supraventricular,Supraventricular,Yes,-8.828787,-0.167123,-20.528339,-5.795249,-5.997826,0.000172,0.993340,0.000000,0.003571,0.002916
98,0,0,Normal,Normal,Yes,-0.892472,-8.348129,-9.619177,-4.394046,-3.175405,0.882710,0.000510,0.000143,0.026614,0.090023
99,1,3,Supraventricular,Fusion,No,-14.008919,-3.537567,-14.307057,-3.510895,-13.466056,0.000014,0.493309,0.000010,0.506643,0.000024
100,2,3,Ventricular,Fusion,No,-8.334695,-10.505053,-9.868498,-6.466964,-7.609888,0.101340,0.011567,0.021860,0.656034,0.209199
101,4,4,Unknown,Unknown,Yes,-3.944959,-11.478211,-9.158117,-5.905762,-0.441807,0.029098,0.000016,0.000158,0.004095,0.966633
102,3,3,Fusion,Fusion,Yes,-10.536572,-13.633992,-22.382568,0.448141,-7.038453,0.000017,0.000001,0.000000,0.999422,0.000560
103,0,0,Normal,Normal,Yes,0.846111,-17.403137,-12.903242,-11.751146,-11.570890,0.999992,0.000000,0.000001,0.000003,0.000004
104,0,0,Normal,Normal,Yes,-0.534462,-10.302258,-11.261728,-3.568101,-1.730892,0.740472,0.000042,0.000016,0.035646,0.223823
105,1,1,Supraventricular,Supraventricular,Yes,-9.146799,-1.333369,-9.924760,-3.128030,-8.650027,0.000346,0.856577,0.000159,0.142349,0.000569
106,0,0,Normal,Normal,Yes,0.673301,-17.785114,-6.491715,-6.233400,-3.285554,0.979567,0.000000,0.000757,0.000981,0.018695
107,0,0,Normal,Normal,Yes,3.198994,-13.812533,-9.214254,-7.599277,-2.071311,0.994860,0.000000,0.000004,0.000020,0.005116
108,2,0,Ventricular,Normal,No,-2.754465,-6.771801,-3.755660,-4.572600,-7.524828,0.642572,0.011567,0.236107,0.104308,0.005447
109,1,1,Supraventricular,Supraventricular,Yes,-9.167591,-0.858365,-10.073710,-2.693558,-9.334367,0.000212,0.861967,0.000086,0.137555,0.000180
110,0,0,Normal,Normal,Yes,1.262024,-12.721793,-14.339767,-1.722585,-2.388422,0.928902,0.000001,0.000000,0.046965,0.024132
111,3,3,Fusion,Fusion,Yes,-7.292658,-8.330925,-11.770548,-1.532153,-4.472344,0.002979,0.001055,0.000034,0.945934,0.049998
112,0,0,Normal,Normal,Yes,3.928694,-19.061365,-13.862104,-6.231391,-2.011503,0.997337,0.000000,0.000000,0.000039,0.002625
113,0,0,Normal,Normal,Yes,0.782451,-14.829378,-11.649139,-1.522326,-5.940283,0.908275,0.000000,0.000004,0.090629,0.001093
114,2,2,Ventricular,Ventricular,Yes,-10.822927,-11.063513,-7.034473,-8.702047,-8.535009,0.015584,0.012252,0.688640,0.129949,0.153574
115,2,2,Ventricular,Ventricular,Yes,-8.582368,-5.047808,-0.603302,-6.628646,-7.710142,0.000337,0.011566,0.984910,0.002380,0.000807
116,0,0,Normal,Normal,Yes,-2.203196,-22.305954,-4.805971,-14.820392,-7.369959,0.926120,0.000000,0.068596,0.000003,0.005282
117,0,0,Normal,Normal,Yes,1.308612,-13.071820,-3.834534,-5.216786,-4.906179,0.990781,0.000001,0.005785,0.001452,0.001981
118,0,0,Normal,Normal,Yes,4.617860,-19.905056,-13.853320,-3.102682,-1.833200,0.997982,0.000000,0.000000,0.000443,0.001576
119,0,0,Normal,Normal,Yes,-0.822651,-17.937765,-12.395616,-10.195052,-10.025147,0.999805,0.000000,0.000009,0.000085,0.000101
120,0,0,Normal,Normal,Yes,0.920663,-15.220358,-15.010058,-0.542237,-5.783373,0.811168,0.000000,0.000000,0.187837,0.000994
121,0,0,Normal,Normal,Yes,-2.411759,-9.678498,-7.374025,-6.650649,-4.377552,0.860464,0.000601,0.006021,0.012411,0.120504
122,1,1,Supraventricular,Supraventricular,Yes,-6.176460,-0.551634,-6.458574,-5.140854,-6.196902,0.003536,0.980370,0.002667,0.009961,0.003465
123,1,1,Supraventricular,Supraventricular,Yes,-7.536826,-0.203553,-6.960657,-6.113479,-6.485856,0.000649,0.993643,0.001155,0.002695,0.001857
124,0,0,Normal,Normal,Yes,-0.182471,-11.839964,-13.267879,-2.811436,-8.962111,0.932560,0.000008,0.000002,0.067287,0.000143
125,0,3,Normal,Fusion,No,-4.180712,-9.690253,-13.825426,-1.603192,-7.654843,0.070425,0.000285,0.000005,0.927103,0.002182
126,0,0,Normal,Normal,Yes,-1.253552,-17.084846,-10.976473,-10.808789,-9.509965,0.999610,0.000000,0.000060,0.000071,0.000259
127,0,0,Normal,Normal,Yes,0.021518,-2.907458,-3.446000,-4.777819,-4.894512,0.908918,0.048583,0.028353,0.007485,0.006661
128,0,0,Normal,Normal,Yes,-1.358503,-9.104489,-10.096104,-4.167291,-6.901030,0.939154,0.000406,0.000151,0.056610,0.003678
129,3,3,Fusion,Fusion,Yes,-11.806097,-17.258514,-21.710371,5.589212,-11.522010,0.000000,0.000000,0.000000,1.000000,0.000000
130,0,0,Normal,Normal,Yes,0.405635,-21.075415,-9.136995,-5.132874,-3.179276,0.969233,0.000000,0.000070,0.003811,0.026886
131,0,0,Normal,Normal,Yes,-0.408867,-27.940968,-13.006388,-8.414071,-0.709195,0.574412,0.000000,0.000002,0.000192,0.425395
132,0,0,Normal,Normal,Yes,-1.649858,-21.829214,-18.236708,-5.310453,-1.759441,0.520312,0.000000,0.000000,0.013381,0.466307
133,0,0,Normal,Normal,Yes,-0.190308,-25.374928,-13.074010,-7.872700,-0.922048,0.674976,0.000000,0.000002,0.000311,0.324711
134,0,3,Normal,Fusion,No,3.749833,-18.067318,-23.937130,4.304473,-4.816534,0.364763,0.000000,0.000000,0.635167,0.000069
135,0,0,Normal,Normal,Yes,-0.687472,-27.039389,-11.691284,-9.395221,-2.043102,0.794934,0.000000,0.000013,0.000131,0.204922
136,4,3,Unknown,Fusion,No,-5.046149,-12.251506,-7.565125,-4.717644,-7.322273,0.388673,0.000289,0.031305,0.539824,0.039910
137,1,1,Supraventricular,Supraventricular,Yes,-10.094563,-0.444043,-7.374317,-8.549231,-9.370172,0.000064,0.998525,0.000976,0.000302,0.000133
138,0,0,Normal,Normal,Yes,-2.073466,-10.642405,-13.302999,-11.814116,-10.510414,0.999521,0.000190,0.000013,0.000059,0.000217
139,0,0,Normal,Normal,Yes,-0.027561,-6.842972,-6.423289,-5.288385,-3.577640,0.964619,0.001058,0.001610,0.005007,0.027706
140,0,0,Normal,Normal,Yes,5.018867,-11.939156,-16.215904,-4.282193,-7.127563,0.999903,0.000000,0.000000,0.000091,0.000005
141,3,3,Fusion,Fusion,Yes,-3.740287,-19.356880,-21.028666,4.129874,-5.218125,0.000382,0.000000,0.000000,0.999531,0.000087
142,1,1,Supraventricular,Supraventricular,Yes,-11.245964,-1.477738,-9.755153,-7.295973,-9.333282,0.000057,0.996342,0.000253,0.002962,0.000386
143,0,0,Normal,Normal,Yes,1.747387,-24.376942,-15.322655,-9.929721,0.158356,0.830474,0.000000,0.000000,0.000007,0.169519
144,0,0,Normal,Normal,Yes,3.366022,-10.629199,-6.350561,-5.140554,-2.571266,0.997106,0.000001,0.000060,0.000202,0.002632
145,0,0,Normal,Normal,Yes,-0.980755,-10.618395,-12.822567,-11.992133,-10.239826,0.999816,0.000065,0.000007,0.000017,0.000095
146,0,0,Normal,Normal,Yes,4.046200,-17.900457,-13.080879,-1.373354,-5.759007,0.995536,0.000000,0.000000,0.004409,0.000055
147,0,0,Normal,Normal,Yes,2.947597,-13.679795,-13.844964,-3.158907,-2.701108,0.994282,0.000000,0.000000,0.002216,0.003502
148,0,4,Normal,Unknown,No,-5.270105,-16.877695,-8.849604,-9.124427,-4.509501,0.313612,0.000003,0.008747,0.006645,0.670994
149,3,3,Fusion,Fusion,Yes,-4.443749,-6.224894,-15.660905,-1.341778,-5.818544,0.042260,0.007118,0.000001,0.939934,0.010687
150,1,1,Supraventricular,Supraventricular,Yes,-9.326929,-3.034438,-8.164228,-7.692172,-8.903293,0.001814,0.980313,0.005801,0.009301,0.002770
151,0,0,Normal,Normal,Yes,1.284403,-22.401068,-12.086930,-7.967753,-4.323160,0.996247,0.000000,0.000002,0.000096,0.003656
152,0,0,Normal,Normal,Yes,-1.578666,-4.572179,-4.705972,-8.092649,-3.835518,0.833258,0.041755,0.036526,0.001235,0.087225
153,0,0,Normal,Normal,Yes,1.092075,-12.767025,-7.362134,-4.666937,-2.726499,0.975298,0.000001,0.000208,0.003076,0.021417
154,0,0,Normal,Normal,Yes,1.205733,-11.949737,-9.670967,-6.174031,-4.855579,0.997033,0.000002,0.000019,0.000622,0.002324
155,0,0,Normal,Normal,Yes,-0.017474,-9.833884,-6.544383,-5.917173,-5.999658,0.993264,0.000054,0.001454,0.002722,0.002506
156,0,0,Normal,Normal,Yes,0.165421,-11.281645,-7.524535,-5.613753,-2.051476,0.898872,0.000010,0.000411,0.002779,0.097929
157,0,0,Normal,Normal,Yes,-0.352956,-8.856031,-5.598019,-3.957231,-4.012174,0.944790,0.000192,0.004982,0.025705,0.024331
158,0,0,Normal,Normal,Yes,2.817170,-4.478977,-8.039165,-3.951994,-2.521641,0.993396,0.000674,0.000019,0.001141,0.004770
159,2,2,Ventricular,Ventricular,Yes,-5.292279,-8.343159,-0.262145,-4.550594,-5.717413,0.006379,0.000302,0.975755,0.013393,0.004170
160,0,0,Normal,Normal,Yes,0.409872,-24.502298,-9.352600,-8.223022,-2.489305,0.947594,0.000000,0.000055,0.000169,0.052183
161,0,0,Normal,Normal,Yes,0.791093,-11.486606,-13.191937,-3.674724,-4.005969,0.980628,0.000005,0.000001,0.011273,0.008094
162,0,0,Normal,Normal,Yes,2.400244,-13.273647,-13.038596,-2.893410,-3.455177,0.992174,0.000000,0.000000,0.004984,0.002842
163,0,0,Normal,Normal,Yes,-0.287983,-8.768579,-11.373190,-3.957027,-3.411753,0.934829,0.000194,0.000014,0.023839,0.041124
164,0,0,Normal,Normal,Yes,4.202781,-28.192560,-15.364281,-9.439537,-0.874621,0.993801,0.000000,0.000000,0.000001,0.006197
165,0,0,Normal,Normal,Yes,-0.244544,-17.735806,-12.793486,-9.728253,-10.323055,0.999878,0.000000,0.000004,0.000076,0.000042
166,0,0,Normal,Normal,Yes,-2.461157,-10.927452,-4.628336,-6.966367,-5.056500,0.833068,0.000175,0.095386,0.009206,0.062164
167,0,0,Normal,Normal,Yes,2.083399,-11.777334,-7.836851,-7.403859,-3.659632,0.996680,0.000001,0.000049,0.000076,0.003194
168,0,0,Normal,Normal,Yes,-0.630100,-9.001312,-11.700215,-4.606959,-3.929667,0.947068,0.000219,0.000015,0.017752,0.034946
169,0,0,Normal,Normal,Yes,-3.109504,-5.227060,-3.765167,-4.815006,-4.384240,0.476053,0.057281,0.247118,0.086490,0.133059
170,0,0,Normal,Normal,Yes,0.688020,-10.239000,-14.277195,-5.296801,-8.454072,0.997365,0.000018,0.000000,0.002510,0.000107
171,0,0,Normal,Normal,Yes,1.104715,-18.602591,-13.026035,-6.209659,-2.607162,0.975516,0.000000,0.000001,0.000650,0.023833
172,0,0,Normal,Normal,Yes,-2.178320,-4.248699,-9.010798,-5.664636,-5.310876,0.832337,0.104989,0.000897,0.025481,0.036295
173,3,3,Fusion,Fusion,Yes,-9.110626,-21.169996,-33.018795,1.272714,-10.317384,0.000031,0.000000,0.000000,0.999960,0.000009
174,3,3,Fusion,Fusion,Yes,-7.110422,-9.910618,-16.330549,-3.319810,-7.439862,0.021709,0.001320,0.000002,0.961353,0.015616
175,2,2,Ventricular,Ventricular,Yes,-6.740999,-8.384602,-0.382855,-6.330855,-5.767588,0.001717,0.000332,0.990820,0.002587,0.004544
176,0,0,Normal,Normal,Yes,-2.657526,-39.861816,-16.720287,-17.458252,-13.422363,0.999978,0.000000,0.000001,0.000000,0.000021
177,1,1,Supraventricular,Supraventricular,Yes,-5.588744,-0.507711,-17.253113,-3.856138,-2.415704,0.005223,0.840526,0.000000,0.029536,0.124715
178,3,3,Fusion,Fusion,Yes,-11.727333,-13.890077,-23.358442,1.888758,-10.234239,0.000001,0.000000,0.000000,0.999993,0.000005
179,1,1,Supraventricular,Supraventricular,Yes,-6.438524,-1.490699,-15.813818,-4.616328,-4.998292,0.006567,0.925088,0.000001,0.040620,0.027724
180,0,0,Normal,Normal,Yes,-2.695847,-6.543104,-6.856128,-5.457643,-3.905064,0.715026,0.015257,0.011157,0.045174,0.213386
181,0,0,Normal,Normal,Yes,-2.520001,-24.881512,-6.731586,-14.292964,-7.254468,0.976927,0.000000,0.014481,0.000008,0.008584
182,0,0,Normal,Normal,Yes,-1.940744,-12.082068,-6.677863,-8.126065,-3.454158,0.812335,0.000032,0.007119,0.001673,0.178841
183,2,3,Ventricular,Fusion,No,-10.894362,-14.698430,-9.135386,-7.700868,-9.164418,0.027143,0.000605,0.157603,0.661557,0.153093
184,0,0,Normal,Normal,Yes,1.234994,-11.192218,-6.772445,-6.411126,-3.420081,0.989778,0.000004,0.000330,0.000473,0.009416
185,0,0,Normal,Normal,Yes,2.567119,-17.065144,-7.276984,-4.999156,0.077667,0.922913,0.000000,0.000049,0.000478,0.076561
186,0,0,Normal,Normal,Yes,5.975390,-23.846884,-14.210137,0.132132,-3.255552,0.997012,0.000000,0.000000,0.002891,0.000098
187,0,0,Normal,Normal,Yes,2.906311,-15.317029,-10.005684,-7.290878,-2.070189,0.993110,0.000000,0.000002,0.000037,0.006851
